Категория,Тип,Подтип,Наименование,Примечание,Атрибут,#REF!,Кол-во,Цена аренды $,Мощность,,,,
Кабель,Силовой,SCHUKO,Кабель Силовой,Короб 30 (Должно быть 31),1,CBL_PWR_SCH_1,30,,,,,,
Коннектор,Силовой,Harting - PowerCON,Брейк хартинг поверкон,,,CON_PWR_HarPwc,3,,,,,,
Кабель,Силовой,TruCON - SCHUKO,Кабель Силовой,короб 2,2,CBL_PWR_TruSch_2,2,,,,,,
Кабель,Силовой,TruCON - SCHUKO,Кабель Силовой,короб 2,1,CBL_PWR_TruSch_1,2,,,,,,
Кабель,Силовой,TruCON,"TruCON 3x1,5",короб 22,3,CBL_PWR_TRC_3,22,,,,,,
Кабель,Силовой,PowerCON - TruCON,Кабель Силовой,короб 22,2,CBL_PWR_PwcTrc_2,22,,,,,,
Кабель,Силовой,PowerCON - SCHUKO ,Кабель Силовой,Кейс 28 (должно быть 32),"1,5","CBL_PWR_PwcSch_1,5",28,,,,,,
Кабель,Силовой,PowerCON - SCHUKO ,Кабель Силовой,Кейс 12,"2,5","CBL_PWR_PwcSch_2,5",12,,,,,,
Кабель,Силовой,PowerCON - SCHUKO ,Кабель Силовой,Кейс 8,"3,5","CBL_PWR_PwcSch_3,5",8,,,,,,
Кабель,Силовой,"PowerCON3х2,5",Кабель Силовой,,5,"CBL_PWR_PWC3х2,5_5",2,,,,,,
Кабель,Силовой,"PowerCON3х2,5",Кабель Силовой,,30,"CBL_PWR_PWC3х2,5_30",3,,,,,,
Кабель,Силовой,"PowerCON3х2,5",Кабель Силовой,,3,"CBL_PWR_PWC3х2,5_3",8,,,,,,
Кабель,Силовой,"PowerCON3х2,5",Кабель Силовой,,25,"CBL_PWR_PWC3х2,5_25",9,,,,,,
Кабель,Силовой,"PowerCON3х2,5",Кабель Силовой,,20,"CBL_PWR_PWC3х2,5_20",9,,,,,,
Кабель,Силовой,"PowerCON3х2,5",Кабель Силовой,,15,"CBL_PWR_PWC3х2,5_15",4,,,,,,
Кабель,Силовой,"PowerCON3х2,5",Кабель Силовой,,10,"CBL_PWR_PWC3х2,5_10",5,,,,,,
Кабель,Силовой,"PowerCON3х1,5","PowerCON 3х1,5",кейс 50 + резерв 40,5,"CBL_PWR_PWC3х1,5_5",90,,,,,,
Кабель,Силовой,"PowerCON3х1,5","PowerCON 3х1,5",Кейс 140 + резерв 65,2,"CBL_PWR_PWC3х1,5_2",140,,,,,,
Кабель,Силовой,"PowerCON3х1,5","PowerCON 3х1,5",Кейс 40 + резерв 8,10,"CBL_PWR_PWC3х1,5_10",48,,,,,,
Кабель,Силовой,"PowerCON3х1,5","PowerCON 3х1,5",короб 100,1,"CBL_PWR_PWC3х1,5_1",100,,,,,,
Кабель,Силовой,Harting 4х12,Кабель Силовой,,5,CBL_PWR_H4x12_5,1,,,,,,
Кабель,Силовой,Harting 4х12,Кабель Силовой,,25,CBL_PWR_H4x12_25,1,,,,,,
Кабель,Силовой,Harting 4х12,Кабель Силовой,,20,CBL_PWR_H4x12_20,1,,,,,,
Кабель,Силовой,Harting 4х12,Кабель Силовой,,15,CBL_PWR_H4x12_15,2,,,,,,
Кабель,Силовой,Harting 4х12,Кабель Силовой,,10,CBL_PWR_H4x12_10,1,,,,,,
Кабель,Силовой,63А,Кабель Силовой,,30,CBL_PWR_63А_30,3,,,,,,
Кабель,Силовой,63А,Кабель Силовой,,20,CBL_PWR_63А_20,2,,,,,,
Кабель,Силовой,63А,Кабель Силовой,,10,CBL_PWR_63А_10,2,,,,,,
Кабель,Силовой,63А,Хвост 63А,,SOCKET,CBL_PWR_63А_SOCKET,4,,,,,,
Кабель,Силовой,32А,Кабель Силовой,,5,CBL_PWR_32А_5,1,,,,,,
Кабель,Силовой,32А,Кабель Силовой,,50,CBL_PWR_32А_50,1,,,,,,
Кабель,Силовой,32А,Кабель Силовой,,25,CBL_PWR_32А_25,2,,,,,,
Кабель,Силовой,32А,Кабель Силовой,,20,CBL_PWR_32А_20,3,,,,,,
Кабель,Силовой,32А,Кабель Силовой,,15,CBL_PWR_32А_15,2,,,,,,
Кабель,Силовой,32А,Кабель Силовой,,10,CBL_PWR_32А_10,2,,,,,,
Кабель,Силовой,32А,Хвост 32А,,SOCKET,CBL_PWR_32А_SOCKET,4,,,,,,
Кабель,Силовой,16А,Кабель Силовой,,25,CBL_PWR_16А_25,5,,,,,,
Кабель,Силовой,16А,Кабель Силовой,,20,CBL_PWR_16А_20,4,,,,,,
Кабель,Силовой,16А,Кабель Силовой,,15,CBL_PWR_16А_15,4,,,,,,
Кабель,Силовой,16А,Кабель Силовой,,10,CBL_PWR_16А_10,6,,,,,,
Кабель,Силовой,16А,Кабель Силовой,,5,CBL_PWR_16А_5,4,,,,,,
Кабель,Силовой,16А,Кабель Силовой,,4,CBL_PWR_16А_4,4,,,,,,
Кабель,Силовой,16А,Кабель Силовой,,3,CBL_PWR_16А_3,1,,,,,,
Кабель,Силовой,16А,Хвост 16А,,SOCKET,CBL_PWR_16А_SOCKET,3,,,,,,
Кабель,Силовой,16А,Кабель Силовой,,16/32,CBL_PWR_16А_16/32,2,,,,,,
Кабель,Силовой,16А,Кабель Силовой,,32/16,CBL_PWR_16А_32/16,2,,,,,,
Электроснабжение,Оборудование,Бесперебойник,Бесперебойник 1000,,1000,PWR_EQP_UPS_1000,1,,,,,,
Электроснабжение,Оборудование,Бесперебойник,Бесперебойник 300,,300,PWR_EQP_UPS_300,1,,,,,,
Коннектор,Силовой,,Брейк PowerCON - Shuko,,,CON_PWR,2,,,,,,
Электроснабжение,Распределитель питания,16А,Силовой распределитель питания 16А (380V) PowerCON,,PowerCON,PWR_PDU_16А_PowerCON,2,,,,,,
Электроснабжение,Распределитель питания,16А,Силовой распределитель питания 16А (380V) Shuko,,Shuko,PWR_PDU_16А_Shuko,2,,,,,,
Электроснабжение,Распределитель питания,32А,Силовой распределитель питания 32А (380V) ГРИБ,,ГРИБ,PWR_PDU_32А_ГРИБ,1,,,,,,
Электроснабжение,Распределитель питания,32А,Силовой распределитель питания 32А (380V) PowerCON,,PowerCON,PWR_PDU_32А_PowerCON,1,,,,,,
Электроснабжение,Распределитель питания,32А,Силовой распределитель питания 32А (380V) Shuko,,Shuko,PWR_PDU_32А_Shuko,1,,,,,,
Электроснабжение,Распределитель питания,63А,Силовой распределитель питания 63А (380V),,,PWR_PDU_63А,2,,,,,,
Звук,Оборудование,БекЛайн,Кейс Ди бокс,"active 2 ch di-box di20 - 3
active 1 ch di-box di33 - 4
Battery tester BT188 -1 
Комплект батареек ААА (10 шт) -1
Батарейка ""Крона"" - 4 шт
Комплект батареек АА (28 шт) -1
Тейп зелёный - 1
Тейп чёрный - 1
Вокальный микровон AKG D5 - 1
Инструментальный микрофон SENNHEIZER E904 - 3
Инструментальный микрофон SENNHEIZER E614 - 2
Двухканальный проводной ушной мониторинг  ROCKBOARD HA3 - 1
Одноканальный проводной ушной мониторинг  ROCKBOARD HA2 - 2
Инструментальный микрофон Shure SM57 - 1
Микрофон для бас бочки  Shure Beta 91A - 1
Микрофон для бас бочки  Shure Beta 52A - 1
Вокальный микрофон SHURE SM58 -1
Микрофонный держатель - 3
Крепление для микрофона Shure A56D - 1
Сетевой кабель IEC C13 - 1
Переходник JACK 6.3 / XLR Male - 3
Переходник JACK 6.3 / XLR Female - 4
JACK 6.3 2m - 4
JACK 6.3 5m - 4
2х JACK 6.3 / JACK 3.5 - 1
Планшет Aipad 10"" - 1
Зарядка для планшета - 1",DiBox1,SND_EQP_BCK_DiBox1,1,,,,,,
Звук,Оборудование,БекЛайн,Кейс Ди бокс,"active 2 ch di-box di20 - 3
active 1 ch di-box di33 - 4
Pass 1 ch DiBox PAN01 - 2
Battery tester BT188 -1 
Комплект батареек ААА (10 шт) -1
Батарейка ""Крона"" - 4 шт
Комплект батареек АА (28 шт) -1
Тейп зелёный - 1
Тейп чёрный - 1
Комплект переходников - 1
Инструментальный микрофон SENNHEIZER E904 - 3
Конденсаторный микрофон Shure SM81 - 2
Двухканальный проводной ушной мониторинг  ROCKBOARD HA3 - 1
Одноканальный проводной ушной мониторинг  ROCKBOARD HA2 - 2
Инструментальный микрофон Shure SM57 - 1
Микрофон для бас бочки  Shure Beta 91A - 1
Микрофон для бас бочки  Shure Beta 52A - 1
Вокальный микрофон SHURE SM58 -1
Микрофонный держатель - 3
Крепление для микрофона Shure A56D - 1
Сетевой кабель IEC C13 - 1
Переходник JACK 6.3 / XLR Male - 3
Переходник JACK 6.3 / XLR Female - 4
JACK 6.3 2m - 4 
JACK 6.3 5m - 4
JACK 6.3 3m - 2
2х JACK 6.3 / JACK 3.5 - 1
Планшет Aipad 10"" - 1
Зарядка для планшета - 1
Наушники QKZ - 1",DiBox2,SND_EQP_BCK_DiBox2,1,,,,,,
Коннектор,Силовой,Брейк,Брейк 16А - PowerCON,,16А_PWC,CON_PWR_BREAK_16А_PWC,6,,,,,,
Коннектор,Силовой,Брейк,Брейк 16А - SHUKO,,16А_SHK,CON_PWR_BREAK_16А_SHK,10,,,,,,
Коннектор,Силовой,Брейк,Брейк 32А - SHUKO,,32А_SHK,CON_PWR_BREAK_32А_SHK,2,,,,,,
Коннектор,Силовой,Брейк,Брейк 32А тройник,,32А_Х3,CON_PWR_BREAK_32А_Х3,2,,,,,,
Коннектор,Силовой,Карабулька,Карабулька STANDART,,SDRT,CON_PWR_BOX_SDRT,12,,,,,,
Коннектор,Силовой,Карабулька,Карабулька X1 SHUKO,,X1,CON_PWR_BOX_X1,14,,,,,,
Коннектор,Силовой,Карабулька,Карабулька X2 SHUKO,,X2,CON_PWR_BOX_X2,8,,,,,,
Коннектор,Сигнальный,Сплиттер Х6,Сплиттер X6 (бочонок),,,CON_SIG_SPLTR_X6,17,,,,,,
Коннектор,Сигнальный,,Состыковка,,,CON_SIG,140,,,,,,
Сцена,Труба,BLACK,Труба с клемпом чёрная ,,"0,5CLAMP","SCN_PIPE_(B)_0,5CLAMP",16,,,,,,
Сцена,Крепление,Clamp X2,Клемп усиленный двойной черный,,,SCN_FIX_CLAMP_X2,24,,,,,,
