Категория,Тип,Подтип,Наименование,Примечание,Атрибут,#REF!,Кол-во,Цена аренды $,Мощность,,,,
Звук,Оборудование,БекЛайн,Гитарный комбо усилитель FENDER Hot Rod Deluxe + Shure SM57,,FENDER,SND_EQP_BCK_FENDER,1,25,,,,,
Звук,Оборудование,БекЛайн,Гитарный комбо усилитель PEAVEY VK-112 + Shure SM57,,PEAVEY,SND_EQP_BCK_PEAVEY,1,20,,,,,
Звук,Оборудование,Микрофон,Головная гарнитура BLX14/SM35,,BLX14/SM35,SND_EQP_MIC_BLX14/SM35,3,15,,,,,
Звук,Оборудование,Микрофон,Головная гарнитура ULXP/SM35,,ULXP/SM35,SND_EQP_MIC_ULXP/SM35,4,20,,,,,
Звук,Оборудование,БекЛайн,Дибокс Mono/Stereo,,DI_BOX,SND_EQP_BCK_DI_BOX,2,3,,,,,
Звук,Оборудование,БекЛайн,Доска для клавишной стойки прямоугольник,,DESK_1,SND_EQP_BCK_DESK_1,1,,,,,,
Звук,Оборудование,БекЛайн,Доска для клавишной стойки трапеция,,DESK_2,SND_EQP_BCK_DESK_2,3,,,,,,
Звук,Оборудование,Прочее,Ката Dante для Behringer X32,,DANTE,SND_EQP_OTH_DANTE,1,20,,,,,
Звук,Оборудование,БекЛайн,Клавишная стойка двухъярусная,,KEYBOARD_2,SND_EQP_BCK_KEYBOARD_2,1,5,,,,,
Звук,Оборудование,БекЛайн,Клавишная стойка одноярусная,,KEYBOARD_1,SND_EQP_BCK_KEYBOARD_1,4,5,,,,,
Звук,Оборудование,Микрофон,Микрофон измерительный EMC8000 Beringer,,EMC8000,SND_EQP_MIC_EMC8000,1,,,,,,
Звук,Оборудование,Прочее,Модем Keenetic,,Keenetic,SND_EQP_OTH_Keenetic,1,,,,,,
Звук,Оборудование,Система управления,"Ноутбук Lenovo Sound 1 14.0""",,Sound1,SND_EQP_CPN_Sound1,1,,,,,,
Звук,Оборудование,Система управления,"Ноутбук Lenovo Sound 2 14.0""",,Sound2,SND_EQP_CPN_Sound2,1,,,,,,
Звук,Оборудование,БекЛайн,Педаль для басс бочки,,PEDAL,SND_EQP_BCK_PEDAL,1,,,,,,
Звук,Стойка,Прочее,Пипитр,,MUSIC,SND_STAND_OTH_MUSIC,2,,,,,,
Звук,Оборудование,Система управления,"Планшет iPad 10""",,IPAD10,SND_EQP_CPN_IPAD10,2,5,,,,,
Звук,Оборудование,Микрофон,Радиосистема для духовых инструментов Shure BLX14/P98H,,P98H,SND_EQP_MIC_P98H,2,50,,,,,
Звук,Оборудование,Микрофон,Радиосистема SHURE BLX4/SM58,,BLX4/SM58,SND_EQP_MIC_BLX4/SM58,7,10,,,,,
Звук,Оборудование,Микрофон,Радиосистема SHURE SLXD SM58/Beta 58A (4/2 штук),,,SND_EQP_MIC,1,,,,,,
Звук,Оборудование,Микрофон,Радиосистема SHURE SLXD/SM58,,SLXD/SM58,SND_EQP_MIC_SLXD/SM58,4,20,,,,,
Звук,Оборудование,Микрофон,Радиосистема SHURE ULXP/SM58 (4 штуки),,ULXP/SM58,SND_EQP_MIC_ULXP/SM58,1,,,,,,
Звук,Оборудование,Прочее,Доп уровень для одноярусной стойки,,,SND_EQP_OTH,2,,,,,,
